epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1235.86,1.96294,10.9059,1.3309,0.70732,0.02588,0.07752,0.02811,2.20213,5.75615,1.45911,0.000555254,0.000555254,0.000555254
1,1306.24,1.96294,10.9059,1.3309,0.70732,0.02588,0.07731,0.02803,2.20213,5.75615,1.45911,0.000555254,0.000555254,0.000555254
2,2668.55,2.2083,3.65536,1.53429,0.67825,0.14037,0.12124,0.04667,2.16836,3.04376,1.41285,0.00110415,0.00110415,0.00110415
2,2750.86,2.2083,3.65536,1.53429,0.67865,0.14037,0.12147,0.04675,2.16836,3.04376,1.41285,0.00110415,0.00110415,0.00110415
3,3982.25,2.21451,2.99529,1.54306,0.09607,0.16133,0.0987,0.03634,2.19285,3.72237,1.4134,0.00162621,0.00162621,0.00162621
3,4046.88,2.21451,2.99529,1.54306,0.09607,0.16133,0.0987,0.03634,2.19285,3.72237,1.4134,0.00162621,0.00162621,0.00162621
4,5197.14,2.17148,2.71669,1.44853,0.27352,0.33638,0.18817,0.09088,2.01997,2.68813,1.34323,0.00157706,0.00157706,0.00157706
4,5264.38,2.17148,2.71669,1.44853,0.27352,0.33638,0.18817,0.09088,2.01997,2.68813,1.34323,0.00157706,0.00157706,0.00157706
5,6390.77,2.0518,2.53104,1.38641,0.25058,0.30028,0.17819,0.08406,1.90628,2.54677,1.3011,0.00150941,0.00150941,0.00150941
5,6465.68,2.0518,2.53104,1.38641,0.25058,0.30028,0.17819,0.08406,1.90628,2.54677,1.3011,0.00150941,0.00150941,0.00150941
6,7581.04,2.00419,2.40005,1.37948,0.30441,0.36505,0.25579,0.11193,1.97286,2.29352,1.31846,0.00142531,0.00142531,0.00142531
6,7653.58,2.00419,2.40005,1.37948,0.30441,0.36505,0.25579,0.11193,1.97286,2.29352,1.31846,0.00142531,0.00142531,0.00142531
7,8775.86,1.91973,2.29312,1.32913,0.32435,0.49106,0.31665,0.14914,1.85885,2.15459,1.26215,0.00132685,0.00132685,0.00132685
7,8853.28,1.91973,2.29312,1.32913,0.32435,0.49106,0.31665,0.14914,1.85885,2.15459,1.26215,0.00132685,0.00132685,0.00132685
8,9997.58,1.82867,2.24319,1.30463,0.43616,0.44447,0.37946,0.18683,1.77709,2.18195,1.22122,0.00121645,0.00121645,0.00121645
8,10052.3,1.82867,2.24319,1.30463,0.43616,0.44447,0.37946,0.18683,1.77709,2.18195,1.22122,0.00121645,0.00121645,0.00121645
9,11205.1,1.83249,2.12815,1.28564,0.51809,0.40676,0.38801,0.1889,1.7597,2.1609,1.20578,0.00109683,0.00109683,0.00109683
9,11273.6,1.83249,2.12815,1.28564,0.51809,0.40676,0.38801,0.1889,1.7597,2.1609,1.20578,0.00109683,0.00109683,0.00109683
10,12388.2,1.77039,2.07877,1.23797,0.42721,0.47673,0.37182,0.19615,1.7102,2.02255,1.17883,0.000970919,0.000970919,0.000970919
11,13306.6,1.63747,1.85703,1.13409,0.44963,0.49698,0.41225,0.21905,1.71192,1.86248,1.14702,0.000841835,0.000841835,0.000841835
12,14087.2,1.58725,1.78738,1.09345,0.45734,0.4854,0.40244,0.2213,1.66891,1.90072,1.13867,0.000712751,0.000712751,0.000712751
13,14892.7,1.54068,1.73683,1.08939,0.53107,0.46281,0.44528,0.23589,1.67741,1.87885,1.15651,0.000586845,0.000586845,0.000586845
14,15692.4,1.51372,1.6762,1.0741,0.52667,0.51289,0.47069,0.26275,1.6095,1.82115,1.1111,0.000467218,0.000467218,0.000467218
15,16475.3,1.47783,1.63962,1.0565,0.54012,0.52926,0.50493,0.28012,1.58676,1.74299,1.09607,0.000356815,0.000356815,0.000356815
16,17263.7,1.4452,1.56938,1.03462,0.55791,0.48851,0.51484,0.28868,1.55066,1.77283,1.07955,0.000258355,0.000258355,0.000258355
17,18045.9,1.46982,1.55739,1.05058,0.54776,0.56205,0.52773,0.31176,1.52073,1.73282,1.06772,0.000174262,0.000174262,0.000174262
18,18823.1,1.42435,1.53274,1.03261,0.54962,0.58354,0.53793,0.31657,1.53087,1.63165,1.0665,0.000106608,0.000106608,0.000106608
19,19604,1.41711,1.50587,1.02848,0.52651,0.59289,0.53478,0.32135,1.51264,1.65584,1.0615,5.70564e-05,5.70564e-05,5.70564e-05
20,20393.4,1.39938,1.47511,1.01305,0.52933,0.59568,0.52878,0.31556,1.51286,1.63486,1.06045,2.68292e-05,2.68292e-05,2.68292e-05
