epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1536.69,2.12383,6.22922,1.47755,0.63833,0.06903,0.06748,0.02286,2.36802,3.31749,1.6031,0.000555254,0.000555254,0.000555254
2,3084.04,2.40858,3.12887,1.71435,0.16239,0.06265,0.06229,0.0224,2.45411,3.39786,1.70249,0.00110415,0.00110415,0.00110415
3,4587.32,2.34097,2.9875,1.67165,0.61789,0.14675,0.09504,0.03228,2.23147,2.86683,1.53751,0.00162621,0.00162621,0.00162621
4,6012.26,2.30868,2.83409,1.60235,0.18104,0.13639,0.14585,0.05535,2.20856,2.6562,1.49747,0.00157706,0.00157706,0.00157706
5,7587.65,2.17213,2.62947,1.51856,0.29024,0.28458,0.18284,0.08053,2.03131,3.39134,1.40242,0.00150941,0.00150941,0.00150941
6,9043.13,2.0944,2.49311,1.49318,0.30805,0.3503,0.22881,0.09807,1.98473,2.41846,1.35287,0.00142531,0.00142531,0.00142531
7,10491.7,2.01537,2.37597,1.42899,0.36396,0.29812,0.23944,0.10298,1.98236,2.44891,1.35659,0.00132685,0.00132685,0.00132685
8,11948.1,1.92055,2.29488,1.3843,0.36164,0.30895,0.27069,0.13874,1.87587,2.27435,1.28582,0.00121645,0.00121645,0.00121645
9,13344.6,1.89748,2.22383,1.35528,0.38885,0.39136,0.3198,0.16649,1.80671,2.14051,1.26765,0.00109683,0.00109683,0.00109683
10,14683.5,1.84677,2.13803,1.31872,0.32551,0.42621,0.28093,0.13975,1.79258,2.23186,1.26506,0.000970919,0.000970919,0.000970919
11,15958.4,1.6801,1.8921,1.17742,0.42314,0.40906,0.36255,0.17672,1.72704,1.92505,1.21368,0.000841835,0.000841835,0.000841835
12,17243.1,1.64859,1.83133,1.14466,0.43959,0.44325,0.39625,0.20806,1.69761,1.89236,1.19389,0.000712751,0.000712751,0.000712751
13,18562.3,1.58931,1.75298,1.13514,0.46797,0.42984,0.38929,0.20323,1.67753,1.91797,1.18041,0.000586845,0.000586845,0.000586845
14,19873.1,1.55292,1.71017,1.11707,0.4551,0.49271,0.41531,0.23035,1.6782,1.83599,1.18132,0.000467218,0.000467218,0.000467218
15,21160.7,1.53526,1.67253,1.10474,0.5094,0.49793,0.44973,0.24336,1.63453,1.82826,1.1504,0.000356815,0.000356815,0.000356815
16,22581,1.48517,1.586,1.07327,0.57896,0.46825,0.4764,0.26665,1.61875,1.76201,1.14022,0.000258355,0.000258355,0.000258355
17,23913.7,1.50681,1.56869,1.09746,0.55404,0.50075,0.48769,0.28063,1.57303,1.75801,1.11453,0.000174262,0.000174262,0.000174262
18,25179.8,1.44368,1.53165,1.06548,0.51145,0.55231,0.48336,0.27112,1.57937,1.65018,1.11557,0.000106608,0.000106608,0.000106608
19,26442.8,1.45027,1.49942,1.06777,0.54259,0.53682,0.49831,0.28764,1.556,1.65429,1.1089,5.70564e-05,5.70564e-05,5.70564e-05
20,27707.8,1.44163,1.49396,1.05744,0.52667,0.57898,0.4955,0.2931,1.55166,1.6382,1.10958,2.68292e-05,2.68292e-05,2.68292e-05
