epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1468.37,2.21468,4.9758,1.58339,0.58862,0.06235,0.02762,0.00777,2.72388,4.19204,2.6106,0.000555254,0.000555254,0.000555254
2,2914.79,2.45988,3.22457,1.77482,0.68568,0.07976,0.08723,0.03161,2.38626,3.2834,1.64417,0.00110984,0.00110984,0.00110984
3,4444.27,2.39004,3.05972,1.73782,0.15047,0.10673,0.10178,0.03879,2.22943,2.89203,1.47722,0.00166008,0.00166008,0.00166008
4,6086.99,2.27753,2.86641,1.66233,0.22488,0.28148,0.15786,0.0665,2.00926,2.90866,1.35701,0.00165238,0.00165238,0.00165238
5,7571.45,2.2199,2.71953,1.59838,0.24992,0.34481,0.17788,0.07365,2.06581,2.4466,1.41808,0.00164108,0.00164108,0.00164108
6,9044.06,2.16073,2.63364,1.58555,0.27854,0.38603,0.24507,0.09903,2.01744,2.36052,1.38275,0.00162661,0.00162661,0.00162661
7,10510.4,2.08693,2.5721,1.52206,0.32679,0.2881,0.2516,0.10355,1.97359,2.40063,1.34962,0.00160905,0.00160905,0.00160905
8,11947.5,2.0682,2.45932,1.50645,0.34784,0.34599,0.28864,0.10957,1.91721,2.36092,1.33454,0.00158847,0.00158847,0.00158847
9,13331.2,2.01338,2.37758,1.47781,0.3083,0.39335,0.28581,0.1323,1.91968,2.20484,1.30301,0.00156493,0.00156493,0.00156493
10,14724.9,2.02861,2.43646,1.46622,0.18949,0.34258,0.23902,0.10239,1.90186,2.41143,1.30463,0.00153854,0.00153854,0.00153854
11,16053,1.98074,2.37579,1.4561,0.32094,0.47955,0.27975,0.11358,1.87555,2.089,1.27609,0.00150941,0.00150941,0.00150941
12,17421.9,2.01737,2.31396,1.45182,0.41303,0.33676,0.32426,0.14093,1.87183,2.20693,1.27234,0.00147764,0.00147764,0.00147764
13,18764.3,1.9558,2.30699,1.42345,0.35549,0.53194,0.3677,0.16225,1.76843,2.10224,1.26589,0.00144335,0.00144335,0.00144335
14,20115.7,1.9559,2.22748,1.43784,0.4176,0.38899,0.35367,0.1686,1.79453,2.09052,1.24361,0.0014067,0.0014067,0.0014067
15,21440.1,1.92818,2.21847,1.41399,0.39445,0.52458,0.35884,0.15381,1.80658,2.00528,1.24917,0.00136781,0.00136781,0.00136781
16,22761.7,1.89699,2.19788,1.40402,0.4832,0.4852,0.38203,0.17673,1.74868,2.21993,1.21554,0.00132685,0.00132685,0.00132685
17,24081.9,1.88115,2.13878,1.39538,0.50071,0.46396,0.45051,0.20612,1.74929,1.91127,1.21324,0.00128398,0.00128398,0.00128398
18,25394.9,1.88207,2.16526,1.37146,0.48409,0.50792,0.42968,0.18764,1.77733,1.94475,1.21964,0.00123936,0.00123936,0.00123936
19,26728,1.85777,2.07082,1.37599,0.46618,0.47198,0.39356,0.20016,1.69455,1.99505,1.18602,0.00119317,0.00119317,0.00119317
20,28030,1.83148,2.07823,1.34587,0.51967,0.49161,0.47017,0.23791,1.69615,1.97457,1.1783,0.0011456,0.0011456,0.0011456
21,29323.5,1.82665,2.03298,1.32836,0.53359,0.53702,0.48452,0.25019,1.72066,1.79742,1.18518,0.00109683,0.00109683,0.00109683
22,30623.3,1.79415,2.0472,1.32884,0.54325,0.50577,0.46847,0.23632,1.71106,1.97348,1.18192,0.00104705,0.00104705,0.00104705
23,31926.8,1.79242,1.98803,1.33627,0.52253,0.52461,0.49534,0.22881,1.70085,1.91054,1.17596,0.000996456,0.000996456,0.000996456
24,33217.2,1.79648,1.92874,1.31697,0.53895,0.55506,0.49413,0.24391,1.68153,1.91884,1.16608,0.000945256,0.000945256,0.000945256
25,34501.4,1.75858,1.90772,1.31438,0.54191,0.53943,0.48507,0.23616,1.6628,1.96476,1.15842,0.000893648,0.000893648,0.000893648
26,35787.4,1.75788,1.90701,1.31195,0.55104,0.58163,0.52383,0.25602,1.66635,1.76037,1.15061,0.000841835,0.000841835,0.000841835
27,37059.6,1.72804,1.86389,1.28665,0.49907,0.59908,0.48847,0.24292,1.63222,1.80909,1.13711,0.000790022,0.000790022,0.000790022
28,38332.2,1.71538,1.81746,1.28793,0.52441,0.57818,0.51835,0.2715,1.67912,1.72898,1.15645,0.000738414,0.000738414,0.000738414
29,39599.7,1.71899,1.84912,1.28159,0.55865,0.59962,0.52376,0.27309,1.62199,1.67782,1.11942,0.000687214,0.000687214,0.000687214
30,40860.3,1.71857,1.82624,1.27678,0.54944,0.54737,0.49998,0.25774,1.62001,1.82889,1.13821,0.000636625,0.000636625,0.000636625
31,42104.6,1.66806,1.73453,1.24565,0.54658,0.58261,0.51116,0.2619,1.63684,1.73048,1.12664,0.000586845,0.000586845,0.000586845
32,43354.9,1.68732,1.73363,1.27052,0.55318,0.58489,0.50091,0.26323,1.62052,1.66364,1.12811,0.000538072,0.000538072,0.000538072
33,44659.2,1.68506,1.70586,1.26339,0.57367,0.59103,0.53824,0.28674,1.61115,1.65607,1.12258,0.000490497,0.000490497,0.000490497
34,46054.1,1.66161,1.72625,1.2517,0.56094,0.62301,0.52283,0.25897,1.60536,1.68062,1.1178,0.000444309,0.000444309,0.000444309
35,47428.5,1.68132,1.67957,1.24479,0.57337,0.65837,0.54261,0.27984,1.61743,1.6558,1.12037,0.000399689,0.000399689,0.000399689
36,48692.1,1.60505,1.64651,1.21116,0.56564,0.62458,0.54004,0.25271,1.61199,1.61629,1.11922,0.000356815,0.000356815,0.000356815
37,49945.8,1.61431,1.64492,1.23255,0.55667,0.63175,0.54854,0.27066,1.59832,1.64417,1.11006,0.000315855,0.000315855,0.000315855
38,51185.7,1.61387,1.62731,1.22691,0.59186,0.64474,0.54664,0.28839,1.5835,1.60123,1.1072,0.000276971,0.000276971,0.000276971
39,52426.1,1.60584,1.6246,1.22343,0.59616,0.62827,0.55575,0.29661,1.57706,1.56624,1.10454,0.000240316,0.000240316,0.000240316
40,53716.1,1.58232,1.59056,1.21471,0.60416,0.60839,0.55471,0.2938,1.5886,1.61222,1.10328,0.000206034,0.000206034,0.000206034
41,54897.3,1.39782,1.44346,1.04759,0.57381,0.6286,0.55603,0.29002,1.59025,1.46298,1.09683,0.000174262,0.000174262,0.000174262
42,56061.7,1.39094,1.42908,1.0258,0.57653,0.6356,0.55327,0.29586,1.57931,1.442,1.08825,0.000145125,0.000145125,0.000145125
43,57226.6,1.37799,1.35614,1.0283,0.60217,0.62586,0.5621,0.30907,1.57539,1.43572,1.08434,0.000118737,0.000118737,0.000118737
44,58387.9,1.3478,1.35953,1.01487,0.5958,0.63966,0.56663,0.30789,1.56373,1.43723,1.07996,9.52034e-05,9.52034e-05,9.52034e-05
45,59577.1,1.35172,1.34435,1.0154,0.5948,0.62933,0.56246,0.30634,1.55907,1.43377,1.0777,7.4616e-05,7.4616e-05,7.4616e-05
46,60744.6,1.37828,1.34275,1.01566,0.59387,0.63803,0.56101,0.30659,1.56271,1.42643,1.08008,5.70564e-05,5.70564e-05,5.70564e-05
47,61909.1,1.3549,1.347,1.0227,0.60368,0.61427,0.5667,0.3154,1.56076,1.43122,1.07584,4.25941e-05,4.25941e-05,4.25941e-05
48,63087.2,1.37136,1.34879,1.03872,0.60216,0.63682,0.57176,0.3135,1.56087,1.42941,1.0799,3.12859e-05,3.12859e-05,3.12859e-05
49,64291.5,1.35298,1.36431,1.01632,0.60432,0.64126,0.57404,0.3174,1.55775,1.4262,1.07825,2.31767e-05,2.31767e-05,2.31767e-05
50,65446.2,1.33978,1.34244,1.00087,0.59755,0.63848,0.57454,0.3185,1.55723,1.42336,1.0771,1.82983e-05,1.82983e-05,1.82983e-05
